kanji,radicals
蓙,人:土:广:艹
薔,人:口:囗:土:艹
蚋,人:冂:虫
衲,人:冂:衤
覡,人:工:見
訥,人:冂:言
誣,人:工:言
諛,人:日:臼:言
讖,人:戈:言:韭
賚,人:八:木:貝
蹐,人:冫:口:月:癶:足
蹼,人:口:玉:羊:足:丷
銕,人:大:弓:金
鋏,人:大:金:个
陋,人:冂:阝.
陜,人:大:阝.
陝,人:入:大:阝.
險,人:口:个:阝.
靈,人:口:工:雨
靹,人:冂:革
鞅,人:冂:凵:口:大:革
鞆,人:冂:革
驗,人:口:馬:个
鰮,人:囗:田:皿:魚:灬
鵐,人:工:鳥:灬
鶺,人:冫:月:鳥:灬
齒,人:凵:止
齡,人:凵:卩:止:齒:个
綾,儿:土:夂:糸
允,儿:厶
胤,儿:幺:月
厩,儿:厂:牙:艮
鋭,儿:口:金:个:丷
悦,儿:口:丷:忄
閲,儿:口:門:丷
塊,儿:匕:厶:土:田:鬼
魁,儿:厶:斗:田:鬼
界,儿:田:个
芥,儿:个:艹
隔,儿:冂:口:鬲:阝.
兜,儿:白
竃,儿:土:宀:穴:龜
冠,儿:冖:寸
勘,儿:力:匚:甘
喚,儿:冂:勹:口:大
堪,儿:匚:土:甘
換,儿:冂:勹:大:扌
翫,儿:冫:白:羽:元
輝,儿:冖:車:尚
鬼,儿:匕:厶:田
橘,儿:冂:口:木:矛
究,儿:宀:穴:九
窮,儿:宀:弓:穴:身
競,儿:口:立
境,儿:土:日:立:音
況,儿:口:氵
鏡,儿:日:立:金:音
尭,儿:十:廾
暁,儿:十:廾:日
空,儿:宀:工:穴
窪,儿:土:宀:穴:氵
兄,儿:口
見,儿:目
虎,儿:匕:卜:厂:虍
光,儿:尚
控,儿:宀:工:穴:扌
晃,儿:日:尚
腔,儿:宀:工:月:穴
克,儿:十:口
唆,儿:厶:口:夂
堺,儿:八:土:田
酸,儿:厶:夂:酉
四,儿:囗
呪,儿:口
蒐,儿:匕:田:鬼:艹
醜,儿:匕:田:酉:鬼
祝,儿:口:礻
俊,儿:厶:夂:亻
峻,儿:厶:夂:山
竣,儿:厶:夂:立
駿,儿:厶:夂:馬
焼,儿:十:火
深,儿:冖:木:氵
甚,儿:甘
税,儿:口:禾:丷
窃,儿:刀:匕:宀:穴
説,儿:口:言:丷
穿,儿:宀:牙:穴
窓,儿:厶:宀:心:穴
続,儿:冖:士:糸
脱,儿:口:月:丷
探,儿:冖:木:扌
窒,儿:厶:土:宀:穴:至
兆,儿:冫
挑,儿:冫:扌
眺,儿:冫:目
跳,儿:冫:口:足
銚,儿:冫:金
纏,儿:土:广:糸:里
党,儿:冖:口:尚
桃,儿:冫:木
逃,儿:冫:辶
涜,儿:冖:士:氵
禿,儿:禾
読,儿:冖:士:士:言
突,儿:大:宀:穴
廃,儿:广:癶
売,儿:冖:士
晩,儿:日:免
匹,儿:匚
菱,儿:土:夂:艹
彪,儿:匕:卜:厂:彡:虍
勉,儿:力:免
娩,儿:女:免
貌,儿:白:豸
睦,儿:土:目
幌,儿:巾:日:尚
魔,儿:匕:广:木:田:鬼:麻
融,儿:冂:口:虫:鬲
窯,儿:宀:玉:穴:羊:丷:灬
耀,儿:彐:隹:尚
陸,儿:土:阝.
凌,儿:冫:土:夂
稜,儿:土:夂:禾
陵,儿:土:夂:阝.
价,儿:个:亻
佻,儿:冫:亻
俛,儿:亻:免
倪,儿:臼:亻
倥,儿:宀:工:穴:亻
傀,儿:匕:厶:田:鬼:亻
僥,儿:土:亻
兀,儿
兒,儿:臼
兌,儿:口:丷
兢,儿:十:口
竸,儿:日:立:音
冏,儿:冂:口
况,儿:冫:口
剋,儿:十:口:刂
吮,儿:厶:口
啌,儿:口:宀:工:穴
圀,儿:囗:方
奐,儿:冂:勹:大
姚,儿:冫:女
尅,儿:十:口:寸
崚,儿:土:夂:山
嵬,儿:匕:山:田:鬼
嶢,儿:土:山
巍,儿:匕:女:山:田:禾:鬼
帶,儿:冖:凵:巾
廛,儿:土:广:里
忱,儿:冖:尢:忄
恍,儿:尚:忄
悛,儿:厶:夂:忄
悗,儿:忄:免
愧,儿:匕:田:鬼:忄
憺,儿:勹:厂:言:忄
戡,儿:匚:戈:甘
擔,儿:厂:言:マ:扌
撓,儿:土:扌
攜,儿:冂:口:山:隹:扌
斟,儿:匚:斗:甘
晄,儿:日:尚
晁,儿:冫:日
曉,儿:土:日
梭,儿:厶:夂:木
椶,儿:凵:夂:木
椹,儿:匚:木:甘
槐,儿:匕:木:田:鬼
橈,儿:土:木
檐,儿:厂:木:言
殼,儿:冖:土:殳
泗,儿:囗:氵
洸,儿:尚:氵
淕,儿:土:氵
渙,儿:冂:大:氵
滉,儿:日:尚:氵
滯,儿:冖:凵:巾:氵
澆,儿:土:氵
濳,儿:土:日:氵
澹,儿:厂:言:氵
烱,儿:冂:口:火
煥,儿:冂:大:火
燒,儿:土:火
牘,儿:囗:士:片:貝
犢,儿:囗:士:牛:貝
猊,儿:臼:犭
獻,儿:冂:匕:卜:厂:口:犬:虍:鬲
琥,儿:匕:卜:厂:玉:虍
瑰,儿:匕:玉:田:鬼
痲,儿:十:木:疒
皃,儿:白
皴,儿:厶:又:夂:皮
睨,儿:目:臼
瞻,儿:勹:厂:目:言
碪,儿:匚:口:甘:石
磽,儿:口:土:石
禝,儿:夂:田:礻
稷,儿:夂:田:禾
穹,儿:宀:弓:穴
窈,儿:力:宀:幺:穴
窗,儿:囗:夕:宀:穴
窕,儿:冫:宀:穴
竈,儿:土:宀:穴:黽
窰,儿:凵:夕:宀:穴:缶
竅,儿:宀:攴:方:白:穴
竄,儿:宀:穴:臼:鼠
窿,儿:夂:宀:生:穴:阝.
邃,儿:宀:穴:豕:丷:辶
竇,儿:冂:士:宀:穴:貝
竊,儿:冂:卜:厶:宀:禸:穴:米:釆
筅,儿:土:竹
箜,儿:宀:工:穴:竹
簷,儿:厂:竹:言
糂,儿:匚:甘:米
鬻,儿:冂:口:弓:米:鬲
絖,儿:糸:尚
繞,儿:土:糸
續,儿:囗:士:糸:貝
纔,儿:比:糸
罕,儿:冖:干
羌,儿:玉:羊:丷
翹,儿:冫:土:羽
胱,儿:月:尚
膈,儿:冂:口:月:鬲
膣,儿:厶:土:宀:月:穴:至
膽,儿:勹:厂:月:言
莵,儿:匕:鬼:艹
蔆,儿:土:夂:氵:艹
蔕,儿:冖:凵:巾:艹
蕘,儿:土:艹
薐,儿:土:夂:禾:艹
藐,儿:日:豸:艹
號,儿:勹:匕:卜:厂:口:虍
蛻,儿:口:虫:丷
蟯,儿:土:虫
蟾,儿:厂:虫:言
裔,儿:冂:口:衣
褫,儿:匕:卜:厂:虍:衤
覿,儿:囗:士:見:貝
誂,儿:冫:言
謖,儿:夂:田:言
譎,儿:冂:口:矛:言
譫,儿:勹:厂:言
讀,儿:囗:士:言:貝
讒,儿:口:比:言
貎,儿:臼:豸
贍,儿:厂:言:貝
贖,儿:囗:士:貝
躔,儿:口:土:广:田:足
輓,儿:車:免
逡,儿:厶:夂:辶
逵,儿:土:辶
遞,儿:匕:卜:厂:虍:辶
遶,儿:土:辶
邊,儿:宀:方:穴:自:辶
鍖,儿:匚:甘:金
鐃,儿:土:金
鑁,儿:凵:夂:金
隗,儿:匕:田:鬼:阝.
霓,儿:臼:雨
竟,儿:日:立:音
餽,儿:匕:田:食:鬼
饒,儿:土:食
饕,儿:匕:卜:厂:口:虍:食
駟,儿:囗:馬
驍,儿:土:馬
鬩,儿:臼:鬥
鬲,儿:冂:口
魄,儿:匕:田:白:鬼
魏,儿:匕:女:田:禾:鬼
魍,儿:冂:匕:田:鬼:丷:亡
魘,儿:匕:厂:日:月:犬:田:鬼
鯢,儿:田:臼:魚:灬
鯱,儿:匕:卜:厂:田:虍:魚:灬
鷸,儿:冂:口:矛:鳥:灬
麑,儿:广:比:臼:鹿
黷,儿:囗:士:貝:里:黒:灬
堯,儿:土
込,入:辶
兪,入:月:个
叺,入:口
圦,入:土
杁,入:木
柩,入:匚:木:久
窩,入:冂:口:宀:穴
糴,入:彐:米:隹
蹣,入:冂:凵:口:足
鳰,入:鳥:灬
異,八:田:井
溢,八:皿:丷:尚:氵
窺,八:大:宀:穴:見
叡,八:冖:卜:又:目
益,八:皿:丷
沿,八:口:氵
演,八:宀:田:氵
鉛,八:口:金:丷
翁,八:冫:厶:羽
黄,八:田
寡,八:刀:宀:自
介,八:个
貝,八:目
基,八:土:甘
旗,八:方:甘
期,八:月:甘
棋,八:木:甘
欺,八:欠:甘
挙,八:手:尚
共,八
恭,八:心:井
興,八:冂:口:臼
倶,八:目:亻
具,八:目
虞,八:匕:卜:厂:口:虍
穴,八:宀
呉,八:口
娯,八:口:女
誤,八:口:言
公,八:厶
巷,八:己:井
港,八:己:氵:井
塞,八:土:宀
斯,八:斤:甘
松,八:厶:木
訟,八:厶:言
慎,八:十:目:忄
真,八:十:目
船,八:口:舟
全,八:玉
曾,八:日
総,八:厶:心:糸
聡,八:厶:心:耳
俗,八:口:谷:个:亻
其,八:甘
只,八:口
谷,八:口:个
鎮,八:十:目:金:丷
填,八:十:土:目
顛,八:十:目:貝:頁
寅,八:宀:田
硲,八:口:石:谷:个
頒,八:刀:貝:頁
鋲,八:斤:金:丷
浜,八:斤:氵
貧,八:刀:貝
分,八:刀
扮,八:刀:扌
紛,八:刀:糸
雰,八:刀:雨
兵,八:斤
盆,八:刀:皿
槙,八:十:木:目
箕,八:甘:竹
裕,八:口:谷:个:衤
輿,八:臼:車
容,八:口:宀:穴:谷:个
溶,八:口:宀:穴:谷:个:氵
熔,八:口:宀:火:穴:谷:个
蓉,八:口:宀:穴:谷:个:艹
慾,八:口:心:欠:谷:个
欲,八:口:欠:谷:个
浴,八:口:谷:个:氵
兮,八:弓
卻,八:卩:口:谷
厮,八:厂:斤:甘
叭,八:口
吩,八:刀:口
咫,八:口:尸
嗔,八:十:口:目
嘶,八:口:斤:甘
囂,八:口:自
囎,八:口:日:田:貝:丷
壑,八:冖:卜:又:口:土:个
岔,八:刀:山
峪,八:口:山:谷:个
嶼,八:山:臼
巓,八:十:山:目:貝:頁
廣,八:广:田:黄
廝,八:广:斤:甘
忿,八:刀:心
惧,八:目:忄
愼,八:匕:目:忄
憙,八:口:士:心:豆
撕,八:斤:甘:扌
擧,八:手:臼
擴,八:广:田:黄:扌
攀,八:大:手:木:爻
曠,八:广:日:田:黄
朞,八:月:甘
枩,八:厶:木
枌,八:刀:木
枳,八:口:木
梹,八:斤:木
棊,八:木:甘
榕,八:口:宀:木:穴:个
歟,八:欠:臼
氛,八:刀:气
汾,八:刀:氵
浚,八:厶:夂:氵
淇,八:甘:氵
淞,八:厶:木:氵
濬,八:冖:卜:目:个:氵
爨,八:冂:冖:口:木:火
瓮,八:厶:瓦
瓰,八:刀:瓦
癜,八:尸:殳:疒
癲,八:十:疒:目:貝:頁
盻,八:勹:目
眞,八:匕:目
睿,八:冖:卜:目:个
瞋,八:十:目
礦,八:口:广:田:石:黄
祺,八:甘:礻
稘,八:甘:禾
穃,八:口:宀:禾:穴:个
簧,八:田:竹:黄
籏,八:方:甘:竹
臀,八:尸:月:月:殳
與,八:臼
舩,八:厶:舟
芬,八:刀:艹
茣,八:口:艹
菘,八:厶:木:艹
蓊,八:冫:厶:羽:艹
蚣,八:厶:虫
蜈,八:口:虫
諡,八:勹:皿:言
譽,八:臼:言
谺,八:口:牙:谷:个
逧,八:口:谷:个:辶
邉,八:冖:口:自:辶
郤,八:口:谷:个:.阝
釁,八:冂:刀:臼:酉
釟,八:金:丷
釡,八:金:丷
鎰,八:皿:金:丷
鎔,八:口:宀:穴:谷:金:个:丷
鑛,八:广:田:金:黄
韆,八:己:襾:革:辶
頌,八:厶:貝:頁
颶,八:目:風
騏,八:甘:馬
鬆,八:厶:彡:木:長:髟
鰌,八:田:酉:魚:灬
鴪,八:宀:穴:鳥:灬
鶲,八:冫:厶:羽:鳥:灬
鷆,八:匕:目:鳥:灬
鷏,八:十:目:鳥:灬
麌,八:口:广:比:鹿
麒,八:广:比:甘:鹿
黌,八:冖:爻:田:臼:黄
黹,八:冂:丷
鼕,八:冫:十:又:口:士:夂:支:鼓
奥,冂:大:米
襖,冂:大:米:衤
岡,冂:山:丷
禍,冂:口:礻
過,冂:口:辶
滑,冂:冖:月:骨:氵
桐,冂:口:木
愚,冂:厶:心:田:禸
偶,冂:厶:田:禸:亻
寓,冂:厶:宀:田:禸
遇,冂:厶:田:禸:辶
隅,冂:厶:日:田:禸:阝.
献,冂:十:干:犬:丷
向,冂:口
構,冂:十:木
溝,冂:十:氵
綱,冂:山:糸:丷:岡
講,冂:十:言
鋼,冂:山:金:丷:岡
剛,冂:山:丷:刂:岡
骨,冂:冖:月
周,冂:口:土
週,冂:口:土:辶
尚,冂:口
廠,冂:口:广:攴:尚
鯛,冂:口:土:田:魚:灬
凋,冂:冫:口:土
彫,冂:口:土:彡
調,冂:口:土:言
筒,冂:口:竹
同,冂:口
洞,冂:口:氵
胴,冂:口:月
銅,冂:口:金
鍋,冂:口:金
南,冂:十:干:丷
楠,冂:十:干:木:丷
幣,冂:巾:攴:丷
箆,冂:比:竹
繭,冂:糸:虫:風:艹
網,冂:糸:丷:亡
麗,冂:广:比:鹿
侖,冂:廾:个:冊
儷,冂:广:比:鹿:亻
囘,冂:己
册,冂
刪,冂:刂:冊
厰,冂:厂:口:攴:尚
咼,冂:口
喃,冂:十:口:干:丷
嚮,冂:口:艮:.阝
堝,冂:口:土
墺,冂:土:大:米
崗,冂:凵:山:丷:岡
幤,冂:口:巾:攴:尚
恫,冂:口:忄
惆,冂:口:土:忄
惘,冂:工:丷:忄
慵,冂:广:彐:用:聿:忄
懊,冂:大:米:忄
敞,冂:口:攴:尚
斃,冂:匕:夕:小:巾:攴:丷:尚
旃,冂:方
暼,冂:小:巾:攴:日:丷:尚
棡,冂:凵:山:木:丷:岡
淌,冂:口:尚:氵
澳,冂:大:米:氵
灑,冂:广:比:鹿:氵
炯,冂:口:火
燠,冂:大:火:米
猾,冂:冖:月:骨:犭
瑁,冂:玉:目
瓊,冂:夂:玉:目
磆,冂:冖:口:月:石:骨
礇,冂:口:大:石:米
禺,冂:日:田:禸
稠,冂:口:土:禾
簓,冂:十:口:彡:竹
粡,冂:口:米
絅,冂:口:糸
綢,冂:口:土:糸
萬,冂:日:田:禸:艹
萵,冂:口:艹
蜩,冂:口:土:虫
蝸,冂:口:虫
辭,冂:十:又:爪:禸:立:辛
迥,冂:口:辶
遖,冂:十:干:丷:辶
雕,冂:口:士:隹
霙,冂:大:雨:艹
餉,冂:口:食
骭,冂:冖:干:月:骨
骰,冂:冖:月:殳:骨
骼,冂:冖:口:夂:月:骨
髀,冂:冖:十:月:田:骨
髑,冂:冖:勹:月:网:虫:骨
鶻,冂:冖:月:骨:鳥:灬
鼈,冂:小:攴:黽:尚
愛,冖:夂:心:爪
壱,冖:匕:士
運,冖:車:辶
営,冖:口:尚
栄,冖:木:尚
鴬,冖:鳥:尚:灬
撹,冖:見:尚:扌
殻,冖:几:士:殳
覚,冖:見:尚
学,冖:子:尚
揮,冖:車:扌
帰,冖:巾:彐:刂
軍,冖:車
慶,冖:夂:广:心
蛍,冖:虫:尚
穀,冖:士:殳:禾
索,冖:十:糸
写,冖:勹
受,冖:又:爪
授,冖:又:爪:扌
綬,冖:又:爪:糸
瞬,冖:夕:爪:牛:目:舛
舜,冖:夕:爪:牛:舛
償,冖:口:貝:亻:尚
嘗,冖:匕:口:日:尚
掌,冖:口:手:尚
裳,冖:口:衣:尚
賞,冖:口:貝:尚
冗,冖:几
常,冖:口:巾:尚
擾,冖:夂:心:白:扌
畳,冖:田
侵,冖:又:彐:亻
寝,冖:又:宀:彐:爿
浸,冖:又:彐:氵
掃,冖:巾:彐:扌
滞,冖:巾:氵
塚,冖:土:豕
堂,冖:口:土:尚
婦,冖:女:巾:彐
冨,冖:口:田
勃,冖:力:十:子
夢,冖:夕:网:艹
蒙,冖:豕:艹
優,冖:夂:心:白:亻
憂,冖:夂:心:自
労,冖:力:尚
儚,冖:夕:网:亻:艹
儻,冖:口:里:黒:亻:尚:灬
冢,冖:豕
冩,冖:勹:臼:灬
冪,冖:大:巾:日:艹
勞,冖:力:火
噎,冖:口:士:豆:丷
營,冖:口:火
嚔,冖:十:口:田:疋
嚏,冖:十:口:田:疋
塋,冖:土:火
壺,冖:士
壹,冖:口:士:豆:丷
孛,冖:十:士:子
學,冖:子:臼
寢,冖:又:宀:彐:爿
帚,冖:巾:彐
彙,冖:彐:木:田:彑
悖,冖:十:子:忄
愨,冖:士:心:殳
懿,冖:冫:口:士:心:欠:豆:丷
戞,冖:戈:自
撈,冖:力:火:扌
擡,冖:厶:口:土:士:至:扌
暈,冖:日:車
暉,冖:日:車
曖,冖:夂:心:日:爪
曚,冖:日:豕:艹
朦,冖:月:豕:艹
棠,冖:口:木:尚
榮,冖:木:火
榾,冖:口:月:木:骨
檬,冖:木:豕:艹
鬱,冖:凵:匕:彡:木:缶
歸,冖:口:巾:彐:止
殪,冖:口:士:歹:豆:丷
渾,冖:車:氵
渤,冖:力:十:子:氵
濛,冖:豕:氵:艹
犖,冖:火:牛
琿,冖:玉:車
瑩,冖:火:玉
甍,冖:瓦:网:艹
甞,冖:口:甘:尚
當,冖:口:田:尚
疊,冖:田:目
疂,冖:冫:田:目
癆,冖:力:火:疒
皸,冖:又:皮:車
皹,冖:又:皮:車
瞠,冖:口:土:目:尚
瞹,冖:夂:心:爪:目
矇,冖:目:豕:艹
礑,冖:口:田:石:尚
箒,冖:巾:彐:竹
臺,冖:厶:口:土:士:至
艨,冖:舟:豕:艹
菷,冖:巾:彐:艹
葷,冖:車:艹
蕣,冖:夕:爪:舛:艹
薨,冖:匕:夕:网:艹
薹,冖:厶:口:土:士:至:艹
螢,冖:火:虫
蟐,冖:口:巾:虫:尚
螳,冖:口:土:虫:尚
蟷,冖:口:田:虫:尚
蠑,冖:木:火:虫
蠧,冖:口:士:石:虫
褌,冖:車:衤
襠,冖:口:田:尚:衤
覺,冖:爻:臼:見
諢,冖:言:車
轂,冖:士:殳:車
鐺,冖:口:田:金:尚
饐,冖:口:士:豆:食:丷
駸,冖:又:彐:馬
鶯,冖:火:鳥:灬
鶤,冖:車:鳥:灬
鷽,冖:爻:臼:鳥:灬
黨,冖:口:里:黒:尚:灬
茨,冫:欠:艹
鰯,冫:弓:田:魚:灬
羽,冫
楽,冫:木:白
翰,冫:十:日:羽:个
凝,冫:匕:疋:矢:マ
冴,冫:牙
姿,冫:女:欠
諮,冫:口:欠:言
資,冫:欠:貝
次,冫:欠
弱,冫:弓
習,冫:白:羽
渋,冫:止:氵
准,冫:隹
摺,冫:白:羽:扌
凄,冫:十:女:彐
摂,冫:耳:扌
扇,冫:戸:羽
煽,冫:戸:火:羽
溺,冫:弓:氵
盗,冫:欠:皿
謬,冫:彡:羽:言:个
翻,冫:田:米:羽:釆
冶,冫:厶:口
薬,冫:日:木:艹
翌,冫:立:羽
塁,冫:土:田
冷,冫:卩:个
冰,冫:水
冽,冫:歹:刂
凅,冫:十:口:囗
勠,冫:力:彡:羽:个
凖,冫:十:隹
咨,冫:口:欠
唹,冫:口:方:个
嫋,冫:女:弓
寥,冫:宀:彡:羽:个
嵶,冫:山:弓
廖,冫:广:彡:羽:个
恣,冫:心:欠
慴,冫:白:羽:忄
憑,冫:心:馬
戮,冫:彡:戈:羽:个
挧,冫:羽:扌
搦,冫:弓:扌
搨,冫:日:羽:扌
摎,冫:彡:羽:个:扌
擽,冫:木:白:扌
栩,冫:木:羽
榻,冫:日:木:羽
樛,冫:彡:木:羽:个
檪,冫:木:白
歙,冫:口:欠:羽:个
淤,冫:方:个:氵
瀚,冫:十:日:羽:个:氵
爍,冫:木:火:白
瓷,冫:欠:瓦
礫,冫:口:木:白:石
粢,冫:欠:米
繆,冫:彡:糸:羽:个
翅,冫:十:又:支:羽
翆,冫:十:羽:九
翊,冫:立:羽
翕,冫:口:羽:个
翔,冫:羊:羽:丷
翡,冫:羽:非
翦,冫:月:羽:丷:刂
翳,冫:匚:殳:矢:羽
聚,冫:又:耳
膠,冫:彡:月:羽:个
蒻,冫:弓:艹
蓼,冫:彡:羽:个:艹
褶,冫:白:羽:衤
軣,冫:車
轢,冫:木:白:車
醪,冫:彡:羽:酉:个
鈞,冫:勹:金
鏐,冫:彡:羽:金:个
鑠,冫:木:白:金
閼,冫:方:門:个
韵,冫:勹:日:立:音
馮,冫:馬
鮗,冫:夂:田:魚:灬
鯲,冫:方:田:魚:个:灬
鶸,冫:弓:鳥:灬
凱,几:口:山:豆:丷
馨,几:又:士:日:禾:香
机,几:木
飢,几:食
拠,几:夂:扌
夙,几:歹
処,几:夂:攴
凪,几:止
肌,几:月
鳳,几:鳥:灬
猟,几:用:尚:犭
佩,几:巾:亻
處,几:匕:卜:厂:夂:虍
凩,几:木
凰,几:玉:白
咒,几:口
珮,几:巾:玉
薇,几:山:彳:攴:艹
諷,几:虫:言:風
頽,几:禾:貝:頁
鳧,几:鳥:灬
鳬,几:鳥
凹,凵
画,凵:田
缶,凵:山
歯,凵:止:米:齒
淘,凵:勹:缶:氵
悩,凵:尚:忄
脳,凵:月:尚
函,凵:水
揺,凵:干:爪:缶:扌
謡,凵:干:爪:缶:言
遥,凵:干:爪:缶:辶
齢,凵:卩:止:米:齒:个
凾,凵:又:口
匈,凵:勹
啣,凵:卩:口:止:缶
嚥,凵:匕:口:爿:灬
寶,凵:宀:玉:缶:貝
屆,凵:土:士:尸
徭,凵:夕:彳:缶
恟,凵:勹:忄
掣,凵:巾:手:牛:缶:刂
掏,凵:勹:缶:扌
搖,凵:夕:缶:扌
旆,凵:巾:干:方:缶
洶,凵:勹:氵
涵,凵:水:氵
瑶,凵:爪:玉:缶
綯,凵:勹:糸:缶
缸,凵:工:缶
罌,凵:缶:貝
罍,凵:田:缶
罐,凵:口:缶:隹:艹
臙,凵:匕:口:月:爿:灬
艷,凵:口:山:色:豆:丷
蓆,凵:巾:广:艹
蔗,凵:广:艹:灬
謠,凵:夕:缶:言
讌,凵:匕:口:爿:言:灬
豐,凵:口:山:豆:丷
蹠,凵:口:广:足:灬
鬯,凵:匕
鷂,凵:夕:缶:鳥:灬
鷓,凵:广:鳥:灬
齔,凵:匕:止:米:齒
齣,凵:勹:口:止:米:齒
齟,凵:止:目:米:齒
齠,凵:刀:口:止:米:齒
齦,凵:止:米:艮:齒
齬,凵:口:止:米:齒:五
齪,凵:口:止:米:足:齒
齷,凵:厶:土:尸:止:米:至:齒
解,刀:牛:角
拐,刀:口:扌
蟹,刀:牛:虫:角
初,刀:衤
召,刀:口
招,刀:口:扌
昭,刀:口:日
沼,刀:口:氵
照,刀:口:日:灬
紹,刀:口:糸
詔,刀:口:言
切,刀:匕
超,刀:口:土:走
粉,刀:米:丷
辺,刀:辶
貿,刀:厶:貝
溜,刀:厶:田:氵
留,刀:厶:田
瑠,刀:厶:玉:田
刄,刀
刧,刀:厶:土
剪,刀:月:丷:刂
劈,刀:十:口:尸:立:辛
辧,刀:十:立:辛
劭,刀:力:口
叨,刀:口
囹,刀:囗:个
屶,刀:山
廨,刀:广:牛:角
彜,刀:廾:彐:米:丷:彑
懈,刀:牛:角:忄
挈,刀:土:手
朷,刀:木
枴,刀:口:木
榴,刀:厶:木:田
瘤,刀:厶:田:疒
砌,刀:匕:口:石
竕,刀:立:丷
籀,刀:厶:田:竹:扌
粱,刀:米:丷:氵
茘,刀:艹
蠏,刀:牛:虫:角
貂,刀:口:豸
迢,刀:口:辶
邂,刀:牛:角:辶
邵,刀:口:.阝
釖,刀:金
霤,刀:厶:田:雨
靱,刀:革
韶,刀:口:日:立:音
髫,刀:口:彡:長:髟
鰡,刀:厶:田:魚:灬
甥,力:生:田
伽,力:口:亻
加,力:口
嘉,力:口:士
架,力:口:木
茄,力:口:艹
迦,力:口:辶
賀,力:口:貝
駕,力:口:馬
協,力:十
脅,力:月
勤,力:口:土:艹
筋,力:月:竹
袈,力:口:衣
功,力:工
劫,力:厶:土
捌,力:口:刂:扌
助,力:目
鋤,力:目:金
男,力:田
努,力:又:女
別,力:口:刂
募,力:大:日:艹
務,力:夂:矛
霧,力:夂:矛:雨
勇,力:田:マ
湧,力:田:マ:氵
幼,力:幺
虜,力:匕:卜:厂:田:虍
励,力:厂:斤
肋,力:月
脇,力:月
仂,力:亻
劬,力:勹:口
劼,力:口:士
勁,力:巛:工
勗,力:日:目
勦,力:木:田:尚
飭,力:食
勵,力:厂:田:禸
勸,力:十:口:隹:艹
娚,力:女:田
嬲,力:女:田
嫐,力:女:田
恊,力:忄
懃,力:心:艹
拗,力:幺:扌
朸,力:木
枷,力:口:木
沒,力:又:氵
珈,力:口:玉
痂,力:口:疒
笳,力:口:竹
舅,力:田:臼
莇,力:目:艹
跏,力:口:足
踴,力:口:田:足:マ
釛,力:金
勒,力:革
黝,力:幺:里:黒:灬
絢,勹:日:糸
易,勹:日:勿
謁,勹:匕:日:言
鈎,勹:厶:金
潟,勹:臼:氵:灬
喝,勹:匕:口:日
渇,勹:匕:日:氵
葛,勹:匕:日:艹
褐,勹:匕:日:衤
鞄,勹:己:革
危,勹:厂
掬,勹:米:扌
菊,勹:米:艹
鞠,勹:米:革
急,勹:彐:心
朽,勹:木
驚,勹:口:夂:攴:馬:艹
句,勹:口
狗,勹:口:犭
駒,勹:口:馬
掲,勹:匕:日:扌
敬,勹:口:攴:艹
警,勹:口:夂:攴:言:艹
勾,勹:厶
巧,勹:工
拘,勹:口:扌
衡,勹:大:彳:田:行
号,勹:口
忽,勹:心:勿
旬,勹:日
殉,勹:日:歹
象,勹:口:豕
燭,勹:火:网:虫
色,勹:巴
趨,勹:土:屮:走
雛,勹:屮:隹
脆,勹:厂:月
像,勹:口:豕:亻
濁,勹:网:虫:氵
陶,勹:缶:阝.
萄,勹:缶:艹
匂,勹:匕
負,勹:貝
葡,勹:十:用:艹
物,勹:牛:勿
吻,勹:口:勿
包,勹:己
庖,勹:己:广
抱,勹:己:扌
泡,勹:己:氵
砲,勹:口:己:石
胞,勹:己:月
飽,勹:己:食
与,勹:卜
佝,勹:口:亻
偈,勹:匕:日:亻
刎,勹:刂:勿
甸,勹:田
匐,勹:口:田
咆,勹:口:己
啗,勹:口:臼
囑,勹:口:尸:网:虫
垉,勹:土:己
寫,勹:宀:臼:灬
屬,勹:尸:网:虫
徇,勹:彳:日
怐,勹:口:忄
恂,勹:日:忄
曷,勹:匕:日:曰
枸,勹:口:木
枹,勹:己:木
栲,勹:木:老
椈,勹:木:米
檠,勹:口:攴:木:艹
歇,勹:匕:日:欠
歿,勹:又:歹
洵,勹:日:氵
瀉,勹:宀:臼:氵:灬
炮,勹:己:火
煦,勹:口:日:灬
獨,勹:网:虫:犭
疱,勹:己:疒
皰,勹:又:己:皮
皺,勹:又:屮:皮
矚,勹:尸:目:网:虫
碣,勹:匕:口:日:石
竭,勹:匕:日:立
筍,勹:日:竹
粤,勹:囗:米
羯,勹:匕:日:玉:羊:丷
臈,勹:匕:日:月:艹
芻,勹:屮:艹
苟,勹:口:艹
苞,勹:己:艹
荀,勹:日:艹
萢,勹:己:氵:艹
蒭,勹:屮:艹
蒟,勹:口:立:艹
蔔,勹:口:田:艹
藜,勹:水:禾:黍:个:艹
藹,勹:匕:日:言:艹
蚫,勹:己:虫
蜀,勹:网:虫
蝎,勹:匕:日:虫
蠍,勹:匕:日:欠:虫
袍,勹:己:衤
觸,勹:网:虫:角
詢,勹:日:言
鞫,勹:言:革
跪,勹:卩:厂:口:足
躅,勹:口:网:虫:足
遏,勹:匕:日:辶
鄒,勹:屮:艹:.阝
鉤,勹:口:金
鉋,勹:己:金
閻,勹:臼:門
陷,勹:臼:阝.
雹,勹:己:雨
