kanji,radicals
丼,｜:丶:丿:二:廾:井
豫,｜:亅:勹:口:矛:豕:マ
佛,｜:丿:弓:亻
來,｜:人:八:十:木
俤,｜:丿:弓:亻:丷
倔,｜:尸:山:亻
倆,｜:人:冂:亻
假,｜:又:亻
儂,｜:辰:亻
兩,｜:入:冂
冉,｜:冂
冓,｜:冂
冲,｜:冫:口
剏,｜:丿:二:刀:廾:丷
剌,｜:八:口:木:刂
剩,｜:匕:爿:刂
勳,｜:力:灬
匣,｜:匚:田
卅,｜:丿:十:巛
丗,｜:十:山
卍,｜:十
吽,｜:二:口:牛
呷,｜:口:田
呻,｜:口:田
咄,｜:口:山
哄,｜:二:八:口
喘,｜:冂:口:山:而
喇,｜:亠:八:口:木:刂
嗽,｜:八:口:木:欠
嘸,｜:丿:口:灬:無
嘯,｜:丿:口:彐:水:米:聿:隶
坏,｜:丶:丿:土
垪,｜:丿:二:土:廾:丷
堙,｜:土:襾
墟,｜:匕:卜:厂:土:虍:丷
壙,｜:二:八:土:广:田:黄
壤,｜:亠:口:土:衣
妍,｜:丿:二:女:廾
娉,｜:勹:女:田
媚,｜:女:尸:目
媾,｜:二:冂:女
嫂,｜:又:女:田
嫩,｜:八:口:女:攴:木
嬋,｜:十:口:女:田
嬾,｜:八:口:女:木:貝:頁
孃,｜:亠:口:女:衣
孺,｜:冂:子:而:雨
屏,｜:丿:二:尸:廾:丷
岫,｜:山:田
岼,｜:二:山:干:丷
崋,｜:山
崛,｜:尸:山
崙,｜:山:个:冊
崘,｜:山:个:冊
嵋,｜:尸:山:目
廡,｜:广:灬:無
廸,｜:廴:日
彈,｜:十:口:弓:田
彌,｜:八:冂:弓:爻
彿,｜:丿:弓:彳
徠,｜:人:八:彳:木
忸,｜:忄
怎,｜:丿:心
怫,｜:丿:弓:忄
恆,｜:彑:忄
悚,｜:八:口:木:忄
惠,｜:厶:心:日:虫
慊,｜:彐:丷:忄
慟,｜:丿:力:日:忄
憖,｜:人:八:心:木:犬
憚,｜:十:口:田:忄
懣,｜:入:冂:凵:心:氵
懶,｜:八:口:木:貝:頁:忄
戰,｜:十:口:戈:田
扁,｜:冂:戸:冊
抔,｜:丶:丿:扌
抻,｜:日:田:扌
拌,｜:二:十:干:丷:尚:扌
拂,｜:丿:弓:扌
拱,｜:二:八:扌
搜,｜:十:又:支:臼:扌
捶,｜:丿:二:扌
揀,｜:八:日:木:扌
搴,｜:二:八:宀:手
搆,｜:八:冂:黄:扌
舉,｜:二:八:臼
收,｜:攴
攸,｜:丿:攴
敕,｜:八:口:攴:木
敝,｜:冂:巾:攴:丷:尚
數,｜:口:女:攴
斷,｜:幺:斤
曄,｜:二:日:艹
曩,｜:亠:八:日:衣
朏,｜:山:月
朮,｜:丶:儿:木
朿,｜:八:冂:木
柞,｜:丿:木
柮,｜:山:木
棘,｜:亠:八:冂:巾:木
棗,｜:亠:八:冂:巾:木
椪,｜:木:丷
椣,｜:八:日:木
棆,｜:木:个:冊
寨,｜:八:宀:木
樓,｜:口:女:木
飮,｜:欠:食:个
歉,｜:彐:欠:丷
洙,｜:丿:二:八:土:木:牛:氵
涕,｜:丿:弓:丷:氵
渊,｜:丿:米:氵
淒,｜:女:彐:氵
淪,｜:个:氵:冊
溂,｜:八:口:木:刂:氵
溏,｜:口:广:彐:氵
澑,｜:田:氵
濂,｜:八:广:彐:氵
濔,｜:八:冂:爻:氵
瀑,｜:二:八:日:水:氵
瀟,｜:丿:彐:水:氵:艹
瀰,｜:八:冂:弓:爻:氵
瀾,｜:日:木:田:門:氵
炸,｜:丿:火
烽,｜:二:夂:火
熏,｜:丿:日:田:灬
燻,｜:丿:日:火:田
燼,｜:彐:火:皿:聿:灬
爛,｜:八:日:木:火:門
狃,｜:犭
狆,｜:口:犭
狎,｜:日:田:犭
狒,｜:丿:弓:犭
璢,｜:玉:田
瑕,｜:又:玉
瑾,｜:口:玉:艹
畍,｜:丿:田:个
畊,｜:丿:二:田:井
疥,｜:丿:疒:个
痞,｜:丶:丿:口:疒
瘻,｜:口:女:疒
眛,｜:二:八:木:目
睇,｜:丿:弓:目:丷
睫,｜:土:彐:目:走
瞞,｜:入:冂:凵:目
瞶,｜:口:目:貝
矗,｜:十:目
祟,｜:山:示
祚,｜:丿:礻
禪,｜:口:日:田:礻
禮,｜:口:日:豆:丷:礻
禳,｜:亠:八:衣:礻
秉,｜:丿:八:彐:禾
秣,｜:亠:八:木:禾
稱,｜:冂:爪:禾
穰,｜:亠:口:禾:衣
穽,｜:丿:二:儿:宀:穴:井
窶,｜:儿:口:女:宀:穴
竦,｜:口:木:立:丷
笨,｜:木:竹
笄,｜:丿:二:廾:竹
筰,｜:丿:竹:亻
筱,｜:攴:竹:亻
篝,｜:二:冂:竹
篳,｜:日:田:竹
簍,｜:口:女:竹
簣,｜:口:竹:貝
簫,｜:丿:彐:水:竹:聿:隶
籟,｜:八:口:木:竹:貝:頁
籥,｜:口:竹:龠:个:冊
糶,｜:山:彐:米:隹
絆,｜:二:十:糸:丷
絣,｜:丿:二:廾:糸:丷
綸,｜:糸:个:冊
綰,｜:口:宀:糸
緞,｜:殳:糸
縣,｜:小:目:糸
縋,｜:口:糸:辶
縷,｜:口:女:糸
繖,｜:二:攴:月:糸
繼,｜:匚:幺:糸
罘,｜:丶:丿:网
翩,｜:冫:戸:羽:冊
耘,｜:二:八:厶:日:木:耒
耙,｜:八:日:木:耒:巴
耜,｜:口:日:木:耒
耡,｜:八:力:日:木:目:耒
耨,｜:八:寸:日:木:耒:辰
聘,｜:勹:日:耳
胛,｜:日:月:田
胙,｜:丿:月
胄,｜:日:月:田
胚,｜:丶:丿:月
胖,｜:二:十:月:丷
脯,｜:丶:十:月:用
腆,｜:八:冂:日:月
胼,｜:丿:二:廾:月:丷
舳,｜:日:田:舟
艚,｜:日:舟
苡,｜:人:艹
苒,｜:冂:艹
茉,｜:亠:八:木:艹
茱,｜:丿:二:亠:八:木:牛:艹
菫,｜:二:口:土:艹
萋,｜:女:彐:艹
葭,｜:又:艹
